player,position,team,projected_points,avg_ppg_3yr,adp,adp_stdev,times_drafted,bye,ppg_trend,points_2025,games_2025,points_2024,games_2024,points_2023,games_2023
Jerick McKinnon,RB,KC,101.8,5.99,,,,,-5.99,0.0,0,0.0,0,71.9,12
AJ Barner,TE,SEA,101.6,5.97,,,,,7.14,121.3,17,63.5,15,0.0,0
DeAndre Hopkins,WR,TEN,101.2,5.95,,,,,-7.65,56.0,17,119.0,16,186.1,17
Brenton Strange,TE,JAX,100.9,5.94,160.6,27.5,7,7,6.2,95.0,12,71.1,14,12.0,7
Chris Rodriguez Jr.,RB,WAS,100.8,5.93,157.4,18.4,31,7,3.44,90.5,12,31.0,7,36.9,9
DeMario Douglas,WR,NE,100.0,5.88,,,,,-0.89,80.3,16,114.7,16,82.7,14
Trey Benson,RB,ARI,98.6,5.8,,,,,7.22,28.9,4,44.0,12,0.0,0
Jerome Ford,RB,CLE,98.3,5.78,,,,,-8.78,30.6,13,115.5,14,189.2,17
Kendrick Bourne,WR,NE,97.7,5.75,,,,,-4.93,73.6,14,51.1,12,81.5,8
Devin Neal,RB,NO,97.3,5.72,,,,,5.72,51.5,9,0.0,0,0.0,0
Brady Cook,QB,NYJ,96.8,5.69,,,,,5.69,28.5,5,0.0,0,0.0,0
Rashod Bateman,WR,BAL,95.3,5.61,142.3,12.6,20,13,-0.5,45.9,13,152.1,16,60.5,15
Miles Sanders,RB,CAR,95.0,5.59,,,,,1.04,22.7,4,65.3,11,74.1,16
Bub Means,WR,NO,94.8,5.58,,,,,0.0,0.0,0,22.3,4,0.0,0
Bhayshul Tuten,RB,JAX,94.7,5.57,52.0,5.7,107,7,5.57,83.6,15,0.0,0,0.0,0
Xavier Legette,WR,CAR,94.4,5.55,,,,,4.79,71.8,15,100.6,15,0.0,0
Tay Martin,WR,TEN,94.3,5.55,,,,,1.65,3.3,2,11.4,1,0.0,0
Quez Watkins,WR,PHI,94.2,5.54,,,,,-5.54,0.0,0,0.0,0,27.7,5
Cole Kmet,TE,CHI,93.8,5.52,,,,,-5.06,63.7,16,96.9,16,144.6,16
Chig Okonkwo,TE,TEN,93.4,5.5,,,,,0.56,96.0,17,87.6,16,86.4,17
Colby Parkinson,TE,SEA,92.9,5.46,,,,,4.46,108.3,14,50.4,16,49.2,15
Bam Knight,RB,DET,92.5,5.44,,,,,5.53,81.9,12,0.0,0,2.6,2
Trevor Siemian,QB,NYJ,91.7,5.39,,,,,-5.39,0.0,0,0.0,0,27.0,5
Raheem Mostert,RB,MIA,91.5,5.38,,,,,-15.06,23.4,12,61.4,13,255.2,15
Marvin Mims Jr.,WR,DEN,91.3,5.37,,,,,1.12,76.5,15,110.0,17,63.7,16
Demarcus Robinson,WR,LA,91.0,5.35,,,,,-5.93,47.2,14,108.0,17,74.4,8
Mack Hollins,WR,ATL,90.7,5.34,,,,,3.62,90.4,14,83.3,17,34.1,12
Isaiah Likely,TE,BAL,90.4,5.32,132.8,20.4,166,8,-2.13,48.2,12,102.7,15,86.1,14
Dontayvion Wicks,WR,GB,89.0,5.24,165.2,12.8,8,10,-2.01,60.8,13,91.0,17,100.3,15
Tez Johnson,WR,TB,88.9,5.23,,,,,5.23,78.4,15,0.0,0,0.0,0
Gardner Minshew,QB,IND,88.6,5.21,,,,,-12.34,-0.3,4,96.3,10,196.2,16
Ezekiel Elliott,RB,NE,88.6,5.21,,,,,-8.76,0.0,0,51.5,15,149.0,17
Mike Gesicki,TE,NE,88.4,5.2,,,,,1.33,56.7,12,109.0,16,50.9,15
Mason Taylor,TE,NYJ,87.5,5.15,,,,,5.15,66.9,13,0.0,0,0.0,0
Jimmy Graham,TE,NO,87.5,5.15,,,,,-5.15,0.0,0,0.0,0,30.9,6
D'Onta Foreman,RB,CHI,87.5,5.15,,,,,-9.52,0.0,0,29.6,10,85.7,9
Josh Palmer,WR,LAC,87.3,5.14,,,,,-5.33,41.3,12,87.9,15,87.7,10
Andrei Iosivas,WR,CIN,86.7,5.1,,,,,0.98,73.4,15,101.9,17,43.1,11
Antonio Gibson,RB,WAS,86.7,5.1,,,,,-2.02,22.2,5,91.9,17,103.4,16
Drew Lock,QB,SEA,85.8,5.05,,,,,-7.25,0.1,3,80.1,7,29.1,4
Cedric Tillman,WR,CLE,85.2,5.01,,,,,1.06,49.5,12,65.9,9,33.7,11
Rondale Moore,WR,ARI,85.0,5.0,,,,,-5.0,0.0,0,0.0,0,85.0,17
Calvin Austin III,WR,PIT,85.0,5.0,,,,,2.29,70.7,14,102.8,17,44.2,16
Tyler Lockett,WR,SEA,84.9,4.99,,,,,-6.58,51.1,17,96.5,17,162.9,17
Salvon Ahmed,RB,MIA,84.8,4.99,,,,,-4.99,0.0,0,0.0,0,34.9,7
Gabe Davis,WR,BUF,84.7,4.99,,,,,-4.53,24.9,6,43.9,10,138.9,16
Blake Corum,RB,LA,84.5,4.97,115.3,17.1,169,11,6.95,118.2,17,30.0,15,0.0,0
Latavius Murray,RB,BUF,84.3,4.96,,,,,-4.96,0.0,0,0.0,0,74.4,15
Kevin Harris,RB,NE,84.2,4.95,,,,,-4.95,0.0,0,0.0,0,19.8,4
Josh Johnson,QB,BAL,84.2,4.95,,,,,8.13,24.4,3,0.8,4,0.0,0
Brandin Cooks,WR,DAL,84.1,4.94,,,,,-6.07,39.9,13,56.6,10,146.2,16
Taylor Heinicke,QB,ATL,83.6,4.92,,,,,-13.2,0.0,0,3.1,4,66.0,5
Case Keenum,QB,HOU,82.8,4.87,,,,,-4.87,0.0,0,0.0,0,9.7,2
Noah Brown,WR,HOU,82.5,4.85,,,,,-5.81,10.8,4,68.8,11,85.1,10
Isaac TeSlaa,WR,DET,82.5,4.85,182.4,7.2,5,6,4.85,67.9,14,0.0,0,0.0,0
Brittain Brown,RB,CHI,82.4,4.85,,,,,4.85,9.7,2,0.0,0,0.0,0
Jalen Nailor,WR,MIN,81.6,4.8,150.3,7.9,12,13,3.6,86.2,17,91.0,15,4.4,3
Tyler Boyd,WR,CIN,81.5,4.8,,,,,-6.55,0.0,0,58.8,15,111.3,17
Noah Fant,TE,SEA,81.0,4.77,,,,,0.62,57.8,13,80.0,14,57.4,15
Emanuel Wilson,RB,GB,80.9,4.76,,,,,2.56,87.0,17,90.5,17,12.8,5
Ty Johnson,RB,BUF,80.8,4.75,,,,,1.98,88.3,17,82.7,17,28.9,9
Olamide Zaccheaus,WR,PHI,80.8,4.75,,,,,1.63,65.3,14,91.9,16,33.4,11
Dylan Sampson,RB,CLE,80.6,4.74,175.6,13.5,5,11,4.74,71.1,15,0.0,0,0.0,0
Ainias Smith,WR,PHI,80.5,4.73,,,,,0.0,0.0,0,14.2,3,0.0,0
Donald Parham,TE,LAC,80.1,4.71,,,,,-4.71,0.0,0,0.0,0,66.0,14
Raheim Sanders,RB,CLE,79.9,4.7,,,,,4.7,18.8,4,0.0,0,0.0,0
KaVontae Turpin,WR,DAL,79.6,4.68,,,,,1.41,71.5,15,88.7,17,53.7,16
Tank Bigsby,RB,JAX,79.4,4.67,167.6,27.9,16,10,1.62,52.3,15,125.5,16,24.3,13
Jalen Tolbert,WR,DAL,79.0,4.65,,,,,-0.45,37.3,12,127.5,17,49.8,14
Ray Davis,RB,BUF,78.5,4.62,,,,,3.48,59.1,17,107.6,17,0.0,0
Tutu Atwell,WR,LA,78.2,4.6,,,,,-3.11,28.2,8,77.9,15,92.9,14
Kendre Miller,RB,NO,78.0,4.59,,,,,-1.07,30.8,7,26.6,6,38.3,7
Albert Okwuegbunam,TE,PHI,77.8,4.57,,,,,6.1,6.1,1,0.0,0,0.0,1
Samaje Perine,RB,DEN,77.8,4.58,,,,,-1.04,69.4,15,67.4,17,96.3,17
Jake Tonges,TE,SF,77.8,4.58,,,,,7.63,76.3,10,0.0,2,0.0,0
Allen Lazard,WR,NYJ,77.6,4.56,,,,,-1.47,18.0,9,107.5,12,48.6,14
Malik Washington,WR,MIA,77.5,4.56,148.4,12.8,26,6,5.51,93.7,17,43.8,14,0.0,0
Pat Bryant,WR,DEN,77.5,4.56,,,,,4.56,59.3,13,0.0,0,0.0,0
Dawson Knox,TE,BUF,77.4,4.55,,,,,1.0,85.7,16,48.1,14,43.6,10
Melvin Gordon,RB,BAL,77.3,4.55,,,,,-4.55,0.0,0,0.0,0,18.2,4
Tyler Johnson,WR,LA,76.8,4.52,,,,,-4.28,31.7,9,48.1,11,7.8,1
Jaleel McLaughlin,RB,DEN,76.5,4.5,,,,,-1.65,29.4,8,85.2,16,90.5,17
Sam Howell,QB,WAS,76.2,4.48,,,,,-15.12,0.0,0,-0.8,1,257.0,17
Greg Dortch,WR,ARI,76.2,4.48,,,,,1.77,60.6,12,71.8,17,52.5,16
Michael Gallup,WR,DAL,75.2,4.42,,,,,-4.42,0.0,0,0.0,0,70.8,16
Jacob Kibodi,RB,CLE,74.8,4.4,,,,,0.0,0.0,0,4.4,1,0.0,0
Gunnar Helm,TE,TEN,74.1,4.36,,,,,4.36,69.7,16,0.0,0,0.0,0
David Bell,WR,CLE,73.9,4.34,,,,,-4.63,0.0,0,4.2,1,41.7,9
Ryan Flournoy,WR,DAL,73.9,4.35,166.7,6.8,9,14,6.27,94.0,15,13.2,9,0.0,0
Sterling Shepard,WR,NYG,73.8,4.34,,,,,3.08,62.5,13,64.3,13,17.3,10
Carnell Tate,WR,TEN,73.5,0.0,77.0,6.2,165,9,0.0,0.0,0,0.0,0,0.0,0
Nick Westbrook-Ikhine,WR,TEN,73.3,4.31,,,,,-4.35,14.4,13,119.7,14,71.0,13
Tim Boyle,QB,NYJ,73.3,4.31,,,,,-3.63,0.0,0,13.9,3,10.9,3
Emari Demercado,RB,ARI,73.2,4.31,,,,,-1.39,51.8,12,46.7,13,62.8,11
DeVante Parker,WR,NE,73.1,4.3,,,,,-4.3,0.0,0,0.0,0,55.9,13
Kevin Austin Jr.,WR,NO,72.3,4.25,,,,,5.3,26.5,5,21.5,8,0.0,0
Terrance Ferguson,TE,LA,72.0,4.24,173.0,23.7,8,11,4.24,46.6,11,0.0,0,0.0,0
Josh Reynolds,WR,DET,71.8,4.22,,,,,-3.28,17.6,5,31.9,8,108.8,16
Hunter Renfrow,WR,LV,71.3,4.19,,,,,2.16,28.4,6,0.0,0,36.0,14
DJ Chark,WR,CAR,71.1,4.18,,,,,-7.0,0.0,0,11.1,4,98.0,14
Elijah Moore,WR,CLE,71.1,4.18,,,,,-3.73,24.1,9,90.4,17,102.6,16
Royce Freeman,RB,LA,70.6,4.15,,,,,-4.15,0.0,0,0.0,0,45.7,11
Sean Tucker,RB,TB,69.1,4.06,,,,,3.74,87.4,17,64.2,17,4.2,3
Tim Patrick,WR,DET,69.1,4.06,,,,,3.4,44.2,13,75.9,15,0.0,0
Tyler Conklin,TE,NYJ,69.1,4.07,,,,,-3.15,13.8,6,96.4,16,92.6,17
Keaton Mitchell,RB,BAL,68.7,4.04,148.3,17.5,6,7,-5.43,50.9,13,6.3,4,65.4,7
Josh Oliver,TE,MIN,68.7,4.04,,,,,0.7,47.5,12,54.8,12,42.3,13
Jaret Patterson,RB,LAC,68.6,4.03,,,,,4.03,24.2,6,0.0,0,0.0,0
PJ Walker,QB,CLE,67.9,3.99,,,,,-3.99,0.0,0,0.0,0,20.0,5
Jaydon Blue,RB,DAL,67.7,3.98,,,,,3.98,19.9,5,0.0,0,0.0,0
Matthew Golden,WR,GB,67.4,3.96,96.0,8.6,68,11,3.96,55.5,14,0.0,0,0.0,0
Jahdae Walker,WR,CHI,67.1,3.95,,,,,3.95,23.7,6,0.0,0,0.0,0
Austin Hooper,TE,LV,67.0,3.94,,,,,1.51,48.8,13,86.1,17,35.9,16
Kalif Raymond,WR,DET,67.0,3.94,,,,,-1.05,54.8,15,48.0,12,79.9,17
Skylar Thompson,QB,MIA,67.0,3.94,,,,,0.0,0.0,0,7.9,2,0.0,0
Curtis Samuel,WR,WAS,66.8,3.93,,,,,-4.95,17.6,6,48.2,14,126.2,16
Braelon Allen,RB,NYJ,66.7,3.93,155.2,26.4,6,13,3.58,14.3,4,75.7,17,0.0,0
Shane Buechele,QB,KC,66.6,3.92,,,,,3.92,3.9,1,0.0,0,0.0,0
Tyquan Thornton,WR,NE,66.5,3.91,,,,,3.64,71.3,12,6.7,4,20.7,9
Julio Jones,WR,PHI,65.7,3.86,,,,,-3.86,0.0,0,0.0,0,30.9,8
John Metchie III,WR,HOU,65.7,3.87,,,,,2.53,55.4,13,43.4,10,24.2,14
Zay Jones,WR,JAX,65.4,3.85,,,,,-2.74,24.3,6,12.4,6,61.1,9
Luke McCaffrey,WR,WAS,65.4,3.85,,,,,5.09,45.8,9,25.8,13,0.0,0
Kenny Pickett,QB,PIT,65.4,3.85,,,,,-7.9,7.7,6,25.1,5,110.2,12
Tanner Hudson,TE,CIN,65.1,3.83,,,,,-1.23,38.3,10,29.0,9,60.7,12
Jaylen Wright,RB,MIA,65.0,3.82,,,,,5.08,45.7,9,25.2,13,0.0,0
Nelson Agholor,WR,BAL,64.9,3.82,,,,,-4.97,0.0,0,42.1,13,79.6,16
Ameer Abdullah,RB,LV,64.9,3.82,,,,,0.33,29.9,13,105.2,15,31.5,16
Lil'Jordan Humphrey,WR,DEN,64.4,3.79,,,,,0.31,28.1,7,48.8,14,40.7,11
Marquez Valdes-Scantling,WR,KC,64.4,3.79,,,,,-0.1,25.0,9,75.0,13,46.0,16
Jamison Crowder,WR,WAS,64.3,3.78,,,,,-1.87,0.0,0,23.7,5,29.9,16
Devontez Walker,WR,BAL,63.6,3.74,,,,,4.33,34.6,8,8.6,3,0.0,0
Tommy Tremble,TE,CAR,63.2,3.72,,,,,0.1,50.4,15,44.9,10,48.9,15
JuJu Smith-Schuster,WR,NE,63.2,3.72,,,,,-0.87,57.0,17,44.1,11,46.5,11
Michael Mayer,TE,LV,62.9,3.7,,,,,-0.12,56.3,13,26.1,11,57.9,13
Cam Akers,RB,MIN,62.5,3.67,,,,,-4.09,7.2,4,86.2,16,41.2,7
Adonai Mitchell,WR,IND,62.4,3.67,159.8,12.2,8,13,4.46,71.4,16,42.3,17,0.0,0
Roman Wilson,WR,PIT,61.6,3.62,,,,,3.62,32.6,9,0.0,0,0.0,0
K.J. Osborn,WR,MIN,60.9,3.58,,,,,-6.4,0.0,0,15.2,7,96.0,15
Chris Conley,WR,SF,60.9,3.59,,,,,-8.4,0.0,0,10.6,9,8.4,1
C.J. Beathard,QB,JAX,60.8,3.58,,,,,-3.58,0.0,0,0.0,0,21.5,6
Isaiah Davis,RB,NYJ,60.4,3.55,,,,,3.79,60.7,16,41.4,13,0.0,0
Greg Dulcich,TE,DEN,60.2,3.54,,,,,3.53,49.8,9,5.3,4,4.0,2
Noah Gray,TE,KC,60.2,3.54,,,,,-1.52,28.3,14,93.3,16,56.6,16
Van Jefferson,WR,ATL,59.5,3.5,,,,,1.73,55.5,14,51.6,15,31.3,14
Quentin Skinner,WR,NYJ,59.5,3.5,,,,,3.5,3.5,1,0.0,0,0.0,0
Jordan Akins,TE,CLE,59.3,3.49,,,,,-1.59,0.0,0,71.0,16,20.7,13
Ja'Tavion Sanders,TE,CAR,59.3,3.49,,,,,3.29,39.5,12,56.7,15,0.0,0
Shedrick Jackson,WR,CIN,59.1,3.48,,,,,4.63,13.9,3,0.0,0,0.0,2
Mitchell Tinsley,WR,CIN,58.7,3.45,,,,,3.45,27.6,8,0.0,0,0.0,0
Jackson Hawes,TE,BUF,58.5,3.44,,,,,3.44,44.7,13,0.0,0,0.0,0
Chris Moore,WR,TEN,58.4,3.44,,,,,-0.51,33.1,10,0.0,0,57.3,15
Patrick Taylor,RB,GB,58.4,3.44,,,,,-2.23,0.0,0,28.3,7,24.5,11
Tre Harris,WR,LAC,57.8,3.4,,,,,3.4,54.4,16,0.0,0,0.0,0
Ray-Ray McCloud,WR,SF,57.2,3.37,,,,,-0.14,10.4,6,111.5,17,22.5,12
David Sills,WR,ATL,56.8,3.34,,,,,3.34,40.1,12,0.0,0,0.0,0
Cooper Rush,QB,DAL,56.7,3.34,,,,,-0.04,1.7,4,109.6,12,3.3,7
Darnell Washington,TE,PIT,56.7,3.34,,,,,3.25,57.9,13,35.5,13,9.6,8
Devin Culp,TE,TB,56.5,3.33,,,,,1.77,7.1,4,11.3,2,0.0,0
Trey Lance,QB,DAL,56.2,3.3,,,,,3.38,13.5,4,12.7,4,0.0,0
Dyami Brown,WR,WAS,55.6,3.27,,,,,1.8,39.7,11,52.4,15,29.0,16
Jaylin Noel,WR,HOU,55.4,3.26,,,,,3.26,55.4,17,0.0,0,0.0,0
Will Dissly,TE,SEA,55.2,3.25,,,,,-0.54,15.2,8,85.1,15,31.7,13
Erick All,TE,CIN,54.8,3.22,,,,,0.0,0.0,0,25.8,8,0.0,0
Kyle Philips,WR,TEN,54.4,3.2,,,,,-3.2,0.0,0,0.0,0,25.6,8
Jeremy McNichols,RB,SF,54.4,3.2,,,,,3.76,60.2,16,59.3,15,0.0,2
Xavier Hutchinson,WR,HOU,54.2,3.19,,,,,3.54,80.5,16,17.7,14,17.9,12
Kyle Williams,WR,NE,53.7,3.16,,,,,3.16,44.2,14,0.0,0,0.0,0
Keelan Doss,WR,LAC,53.6,3.15,,,,,-3.15,0.0,0,0.0,0,6.3,2
Jahan Dotson,WR,WAS,53.2,3.13,,,,,-3.15,41.2,15,32.4,14,100.3,17
Brock Wright,TE,DET,53.1,3.13,,,,,1.32,29.8,8,28.5,11,21.6,9
Brandon Johnson,WR,DEN,52.1,3.06,,,,,-6.39,0.0,0,1.4,1,63.9,10
Isaiah Bond,WR,CLE,51.8,3.05,,,,,3.05,45.7,15,0.0,0,0.0,0
Robert Woods,WR,HOU,51.0,3.0,,,,,-4.95,0.0,0,28.3,14,69.3,14
Jared Wayne,WR,HOU,51.0,3.0,,,,,3.0,3.0,1,0.0,0,0.0,0
Damien Harris,RB,BUF,51.0,3.0,,,,,-3.0,0.0,0,0.0,0,18.0,6
Jacoby Jones,WR,WAS,51.0,3.0,,,,,3.0,3.0,1,0.0,0,0.0,0
Brashard Smith,RB,KC,50.8,2.99,,,,,2.99,50.8,17,0.0,0,0.0,0
Ollie Gordon II,RB,MIA,50.6,2.98,,,,,2.98,50.6,17,0.0,0,0.0,0
Odell Beckham Jr.,WR,BAL,50.6,2.98,,,,,-6.43,0.0,0,10.0,8,90.0,14
Malik Heath,WR,GB,50.5,2.97,,,,,-0.51,11.6,7,26.7,5,26.0,12
Malik Davis,RB,DAL,50.5,2.97,,,,,3.96,39.6,10,0.0,0,0.0,1
Blaine Gabbert,QB,KC,50.2,2.95,,,,,-2.95,0.0,0,0.0,0,5.9,2
Ronnie Bell,WR,SF,50.1,2.95,,,,,2.51,9.3,2,3.2,4,27.8,13
Foster Moreau,TE,NO,50.1,2.95,,,,,-1.41,9.4,7,87.3,16,35.8,13
Zavier Scott,RB,MIN,49.8,2.93,,,,,2.93,32.2,11,0.0,0,0.0,0
Daniel Bellinger,TE,NYG,49.7,2.92,,,,,1.14,50.1,13,19.5,12,38.0,14
Bo Melton,WR,GB,49.4,2.91,,,,,-7.77,22.2,13,18.5,13,37.9,4
Elijah Dotson,RB,LAC,49.3,2.9,,,,,-2.9,0.0,0,0.0,0,2.9,1
Clyde Edwards-Helaire,RB,KC,49.3,2.9,,,,,-2.51,3.2,2,8.5,2,61.6,15
Jamaal Williams,RB,NO,49.0,2.88,,,,,-3.98,0.0,0,32.6,14,51.8,13
Jaylin Lane,WR,WAS,49.0,2.88,,,,,2.88,43.2,15,0.0,0,0.0,0
Roschon Johnson,RB,CHI,48.7,2.87,,,,,-5.39,1.7,6,69.4,13,85.1,15
Jalen Guyton,WR,LAC,48.3,2.84,,,,,-2.84,0.0,0,0.0,0,19.9,7
Adam Trautman,TE,DEN,48.2,2.84,,,,,-0.36,35.5,13,37.3,13,49.4,16
Khalil Herbert,RB,CHI,48.2,2.84,,,,,-7.32,6.1,5,26.5,11,102.5,12
Isaiah Hodgins,WR,NYG,48.1,2.83,,,,,0.21,22.5,6,2.2,2,49.5,14
Dorian Thompson-Robinson,QB,CLE,47.7,2.81,,,,,-3.16,0.0,0,15.8,6,22.1,7
Xavier Restrepo,WR,TEN,47.6,2.8,,,,,2.8,5.6,2,0.0,0,0.0,0
Blake Watson,RB,DEN,47.6,2.8,,,,,0.0,0.0,0,2.8,1,0.0,0
Trey Palmer,WR,TB,47.5,2.79,,,,,-4.48,0.0,0,29.2,15,76.2,17
Ty Chandler,RB,MIN,47.0,2.76,,,,,-3.22,7.3,3,25.4,14,90.5,16
Mitchell Evans,TE,CAR,47.0,2.76,,,,,2.76,38.7,14,0.0,0,0.0,0
Zach Wilson,QB,NYJ,46.9,2.76,,,,,-9.65,1.4,4,0.0,0,119.9,12
Justin Watson,WR,KC,46.6,2.74,,,,,-3.53,4.5,3,51.9,15,75.5,15
AJ Dillon,RB,GB,46.4,2.73,,,,,-5.84,7.6,6,0.0,0,106.6,15
Zamir White,RB,LV,46.0,2.71,,,,,-3.59,7.6,5,26.3,8,66.4,13
Jake Funk,RB,IND,45.9,2.7,,,,,-2.7,0.0,0,0.0,0,2.7,1
Nick Muse,TE,MIN,45.9,2.7,,,,,-2.7,0.0,0,0.0,0,2.7,1
Luke Musgrave,TE,GB,45.8,2.69,,,,,-2.43,37.2,13,8.0,7,58.2,11
Dameon Pierce,RB,HOU,45.6,2.68,,,,,-4.72,3.6,5,42.5,10,76.2,14
Shane Zylstra,TE,DET,44.9,2.64,,,,,3.5,3.5,1,2.7,2,0.0,0
Elijah Higgins,TE,ARI,43.9,2.58,,,,,-0.13,43.1,17,39.2,15,29.3,11
Matt Breida,RB,NYG,43.5,2.56,,,,,-2.56,0.0,0,0.0,0,38.4,15
Cedrick Wilson Jr.,WR,MIA,43.2,2.54,,,,,-4.18,6.9,6,41.9,13,58.6,11
Cordarrelle Patterson,RB,ATL,42.8,2.52,,,,,-2.7,0.0,0,31.5,13,32.4,12
Davis Allen,TE,LA,42.7,2.51,,,,,0.46,50.8,15,6.9,7,20.5,7
Mike Strachan,WR,CAR,42.5,2.5,,,,,-2.5,0.0,0,0.0,0,5.0,2
Jakobie Keeney-James,WR,GB,42.5,2.5,,,,,2.5,2.5,1,0.0,0,0.0,0
Nick Vannett,TE,LAC,42.3,2.49,,,,,-0.8,0.0,0,40.0,12,0.8,1
Brian Hoyer,QB,LV,42.0,2.47,,,,,-2.47,0.0,0,0.0,0,4.9,2
Chris Brooks,RB,MIA,42.0,2.47,,,,,-1.99,26.2,17,36.7,11,10.6,3
Israel Abanikanda,RB,NYJ,41.9,2.47,,,,,-2.47,0.0,0,0.0,0,14.8,6
Treylon Burks,WR,TEN,41.8,2.46,,,,,-0.54,24.0,8,5.5,5,31.9,9
Irv Smith,TE,CIN,41.7,2.45,,,,,-2.45,0.0,0,0.0,0,24.5,10
Chris Oladokun,QB,KC,41.5,2.44,,,,,3.73,11.2,3,0.5,1,0.0,0
Dante Pettis,WR,NO,41.5,2.44,,,,,1.9,15.2,8,26.0,8,0.0,0
Michael Bandy,WR,DEN,41.4,2.44,,,,,3.25,13.0,4,0.0,0,0.0,1
Josh Whyle,TE,TEN,41.1,2.42,,,,,-0.19,12.1,6,46.8,15,19.9,9
Gerald Everett,TE,LAC,41.0,2.41,,,,,-5.71,0.0,0,7.6,10,85.6,15
Tyson Bagent,QB,CHI,40.8,2.4,,,,,-9.36,2.6,2,-0.3,4,53.3,5
David Moore,WR,TB,40.8,2.4,,,,,-2.25,2.2,3,69.1,15,17.9,6
Grant Calcaterra,TE,PHI,40.7,2.4,,,,,0.04,18.1,9,47.8,15,5.9,3
Hunter Long,TE,LA,40.2,2.36,,,,,3.79,26.5,7,15.5,11,0.0,1
Mo Alie-Cox,TE,IND,39.9,2.35,,,,,-0.84,24.2,11,26.7,12,42.6,14
Nick Mullens,QB,MIN,39.6,2.33,,,,,-13.36,-0.0,4,1.3,4,66.7,5
Charlie Kolar,TE,BAL,39.6,2.33,,,,,0.38,31.2,13,23.8,10,18.2,9
Cody White,WR,SEA,39.4,2.32,,,,,2.06,16.5,8,5.4,2,0.0,0
Lawrence Cager,TE,NYG,39.4,2.32,,,,,-2.32,0.0,0,0.0,0,11.6,5
Jimmy Horn Jr.,WR,CAR,39.4,2.32,,,,,2.32,23.2,10,0.0,0,0.0,0
Jack Bech,WR,LV,39.3,2.31,,,,,2.31,32.4,14,0.0,0,0.0,0
Hayden Hurst,TE,CAR,39.3,2.31,,,,,-3.71,0.0,0,11.3,7,33.4,9
MarShawn Lloyd,RB,GB,39.1,2.3,113.3,22.4,247,11,0.0,0.0,0,2.3,1,0.0,0
Pierre Strong,RB,CLE,38.9,2.29,,,,,-2.52,0.0,0,28.2,13,40.3,16
Drew Sample,TE,CIN,38.9,2.29,,,,,-0.77,24.4,12,26.5,11,39.3,14
Darius Cooper,WR,PHI,38.8,2.28,,,,,2.28,13.7,6,0.0,0,0.0,0
Jordan Whittington,WR,LA,38.7,2.28,,,,,1.82,27.3,15,41.5,14,0.0,0
Elijah Arroyo,TE,SEA,38.4,2.26,,,,,2.26,29.4,13,0.0,0,0.0,0
Jarrett Stidham,QB,DEN,38.3,2.25,,,,,-13.42,-0.1,1,0.5,2,26.6,2
Luke Schoonmaker,TE,DAL,38.2,2.25,,,,,-0.43,20.2,14,43.6,12,22.5,12
Austin Trammell,WR,LA,37.9,2.23,,,,,0.69,6.1,6,5.0,1,4.9,15
Isaac Guerendo,RB,SF,37.7,2.22,,,,,0.0,0.0,7,88.7,16,0.0,0
Brandon Bolden,RB,LV,37.7,2.22,,,,,-2.22,0.0,0,0.0,0,11.1,5
Robbie Chosen,WR,MIA,37.5,2.21,,,,,-0.83,7.8,3,1.0,1,20.6,6
Cole Turner,TE,WAS,37.2,2.19,,,,,-2.19,0.0,0,0.0,0,17.5,8
Ben Sinnott,TE,WAS,36.9,2.17,,,,,2.54,22.9,9,11.3,7,0.0,0
Damien Williams,RB,ARI,36.8,2.17,,,,,-2.17,0.0,0,0.0,0,6.5,3
Cade Stover,TE,HOU,36.6,2.16,,,,,2.32,13.9,6,26.8,14,0.0,0
Jeff Wilson,RB,MIA,36.3,2.14,,,,,-3.81,0.0,0,9.1,7,34.3,9
Terrell Jennings,RB,NE,36.2,2.13,,,,,2.45,14.7,6,3.3,2,0.0,0
Lynn Bowden,WR,NO,36.1,2.12,,,,,-2.12,0.0,0,0.0,0,17.0,8
Jeremy Ruckert,TE,NYJ,35.9,2.11,,,,,0.22,35.4,14,19.5,14,23.1,10
Nate Adkins,TE,DEN,35.7,2.1,,,,,1.46,13.8,6,36.5,15,4.2,5
Scott Miller,WR,ATL,35.7,2.1,,,,,-0.91,10.7,5,9.4,6,33.6,11
Anthony Miller,WR,BAL,35.7,2.1,,,,,0.0,0.0,0,2.1,1,0.0,0
Stone Smartt,TE,LAC,35.6,2.09,,,,,-0.8,8.7,6,26.8,9,27.0,12
James Mitchell,TE,DET,35.5,2.09,,,,,0.25,4.3,2,0.0,0,3.8,2
Corey Kiner,RB,ARI,35.3,2.08,,,,,2.08,8.3,4,0.0,0,0.0,0
Ryan Miller,WR,TB,35.1,2.06,,,,,1.16,10.4,9,30.8,9,0.0,0
Brycen Hopkins,TE,LA,35.0,2.06,,,,,-2.06,0.0,0,0.0,0,10.3,5
Johnny Mundt,TE,MIN,34.5,2.03,,,,,-1.87,15.6,12,35.7,14,31.7,10
Tyler Badie,RB,DEN,34.4,2.02,,,,,1.62,25.9,16,7.9,3,0.0,0
Konata Mumpfield,WR,LA,34.3,2.02,,,,,2.02,20.2,10,0.0,0,0.0,0
Deuce Vaughn,RB,DAL,34.2,2.01,,,,,-1.92,0.0,0,10.3,5,11.5,6
Jalen Brooks,WR,DAL,34.1,2.01,,,,,-1.81,6.6,5,29.7,12,9.4,3
